image_id,duplicate_of,dominant_clr,saturation,sat_level,brightness,brightness_level,Adults,Children
1434536950257877.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
143541331238101.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1436192950096764.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1439437103086034.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1440608886314906.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1440725066311515.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1442578409454124.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1447167078995838.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
144950837761120.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
145052084429843.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1452077835148571.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1453209755050909.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
145394357723716.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
145546407607942.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1455539801473535.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
145559007656739.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
145940474284214.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1461773600850123.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1463373227340577.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1463824537303309.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
146451647570116.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1464587017254881.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1465137957178567.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
146723880902110.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
146751057536051.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1469274313453736.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
146963227545738.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
147083370840244.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
147480614072250.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1475213712816023.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
147751604234972.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
147787974048012.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1478339675849823.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
1479193709094613.jpeg,1000083867497631.jpeg,"(145, 112, 84)",96,Medium,136,Medium,2,2
